"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,"Link clicks",Navigation,"Sticker taps",Follows
17862804234412949,17841401475580469,nicki.entenmann,"Nicki Entenmann","@alo 
@adidas",0,"09/17/2025 09:16",https://instagram.com/stories/nicki.entenmann/3723751476817607976,"IG story",,Lifetime,12741,11124,39,0,3,17,79,12106,,
18043198106374113,17841401475580469,nicki.entenmann,"Nicki Entenmann","Linking yesterdays off the shoulder sweatshirt!
I’m in M",0,"09/17/2025 09:15",https://instagram.com/stories/nicki.entenmann/3723751115377671125,"IG story",,Lifetime,13682,11636,54,0,2,7,352,12711,,
18100424680721731,17841401475580469,nicki.entenmann,"Nicki Entenmann","NICKI60 for $60 off
BIGGEST. DISCOUNT. EVER.  Macros
Workouts
Accountability
Yours truly as your coach 🙌🏻
Foundation to have results. 

Everythingggggg I preach wrapped up in a bow right here",0,"09/17/2025 09:14",https://instagram.com/stories/nicki.entenmann/3723750589260896697,"IG story",,Lifetime,13273,11516,26,0,6,2,88,12186,,
18290115796260652,17841401475580469,nicki.entenmann,"Nicki Entenmann","We’re back 🙌🏻",15,"09/17/2025 09:07",https://instagram.com/stories/nicki.entenmann/3723746787090822853,"IG story",,Lifetime,14673,12224,95,0,32,7,,11672,,2
18000758273653934,17841401475580469,nicki.entenmann,"Nicki Entenmann","My next Bible study book is on sale too!",0,"09/16/2025 12:48",https://instagram.com/stories/nicki.entenmann/3723133626419951735,"IG story",,Lifetime,17003,13743,40,1,43,2,248,16250,,
18317140687245060,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"09/16/2025 12:48",https://instagram.com/stories/nicki.entenmann/3723133624800919771,"IG story",,Lifetime,16574,14279,27,0,6,1,143,16051,,
18090716701772103,17841401475580469,nicki.entenmann,"Nicki Entenmann","Sweater I shared the other day! (On Sept Amazon highlight) on major sale!!",0,"09/16/2025 12:48",https://instagram.com/stories/nicki.entenmann/3723133623718774141,"IG story",,Lifetime,16385,14246,26,0,8,0,89,15865,,
17876471400409158,17841401475580469,nicki.entenmann,"Nicki Entenmann","Give me one of everything!",0,"09/16/2025 12:48",https://instagram.com/stories/nicki.entenmann/3723133625648173962,"IG story",,Lifetime,16907,14779,35,0,3,0,274,16032,,
17910953271214688,17841401475580469,nicki.entenmann,"Nicki Entenmann","30 mins before bed
Supports sleep without melatonin  @hiyahealth #hiyapartner  Use  my link and use code
 NICKI50 to receive 50% off
 your first order!",0,"09/16/2025 12:29",https://instagram.com/stories/nicki.entenmann/3723123845017771198,"IG story",,Lifetime,16275,15116,24,0,3,0,27,15819,,
18100391263555385,17841401475580469,nicki.entenmann,"Nicki Entenmann","When kids sleep well, everything improves—focus, mood, growth, immune function, and even behavior. 
 smoother mornings, easier school days, and fewer meltdowns. @hiyahealth #hiyapartner",39,"09/16/2025 12:29",https://instagram.com/stories/nicki.entenmann/3723123983664724159,"IG story",,Lifetime,16677,15555,26,1,6,10,27,16180,,
17936319318084075,17841401475580469,nicki.entenmann,"Nicki Entenmann","NICKI50 for 50% off first order  its a natural, parent and pediatrician approved solution designed to support calm, restful sleep without the grogginess
Melatonin free
No added sugar or dyes @hiyahealth #hiyapartner",47,"09/16/2025 12:29",https://instagram.com/stories/nicki.entenmann/3723123948818449706,"IG story",,Lifetime,17521,16018,28,0,9,9,37,16835,6,
